medicine_id,medication_name_dosage,medication_name,dosage,special_instructions,possible_side_effects,special_instructions_gui,possible_side_effects_gui
1,Glucophage XR Metformin HCl 750mg (Unpacked),Glucophage XR Metformin HCl (Unpacked),750,"Glucophage XR Metformin HCl should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","Glucophage XR Metformin HCl may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate.","It should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","It may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate."
2,Glucophage XR Metformin HCl 750mg (Packed),Glucophage XR Metformin HCl (Packed),750,"Glucophage XR Metformin HCl should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","Glucophage XR Metformin HCl may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate.","It should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","It may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate."
3,Glucophage Metformin HCl 500mg (Unpacked),Glucophage Metformin HCl (Unpacked),500,"Glucophage Metformin HCl should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","Glucophage Metformin HCl may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate.","It should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","It may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate."
4,Glucophage Metformin HCl 500mg (Packed),Glucophage Metformin HCl (Packed),500,"Glucophage Metformin HCl should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","Glucophage Metformin HCl may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate.","It should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","It may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate."
5,Glucophage Metformin HCl 1g (Unpacked),Glucophage Metformin HCl (Unpacked),1000,"Glucophage Metformin HCl should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","Glucophage Metformin HCl may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate.","It should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","It may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate."
6,Glucophage Metformin HCl 1g (Packed),Glucophage Metformin HCl (Packed),1000,"Glucophage Metformin HCl should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","Glucophage Metformin HCl may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate.","It should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","It may cause allergic reactions, nausea, vomiting, diarrhea, abdominal pain and loss of appetite, muscle pain, cold sensations, breathing troubles, dizziness, weakness, stomach issues, or irregular heart rate."
7,Sucranorm Metformin HCl 850mg (Unpacked),Sucranorm Metformin HCl (Unpacked),850,"Sucranorm Metformin HCl should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","Sucranorm Metformin HCl may cause anorexia, nausea, diarrhea, metallic taste, weight loss.","It should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","It may cause anorexia, nausea, diarrhea, metallic taste, weight loss."
8,Sucranorm Metformin HCl 850mg (Packed),Sucranorm Metformin HCl (Packed),850,"Sucranorm Metformin HCl should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","Sucranorm Metformin HCl may cause anorexia, nausea, diarrhea, metallic taste, weight loss.","It should be taken with food, swallowed whole, not chewed/crushed, and taken daily without interruption with evening meal.","It may cause anorexia, nausea, diarrhea, metallic taste, weight loss."
9,RiteMed Glimepiride 2mg (Unpacked),RiteMed Glimepiride (Unpacked),2,"RiteMed Glimepiride should be taken with food, taken immediately before or during breakfast or the first main meal of the day, and consumed with a full glass of water.","RiteMed Glimepiride may cause hives, difficulty in breathing, facial or throat swelling, yellowed skin, dark urine, weakness, headache, dizziness, nausea, low blood sugar, fever, sore throat, burning eyes, skin pain, or red/purple skin rash with blistering and peeling, ","It should be taken with food, taken immediately before or during breakfast or the first main meal of the day, and consumed with a full glass of water.","It may cause hives, difficulty in breathing, facial or throat swelling, yellowed skin, dark urine, weakness, headache, dizziness, nausea, low blood sugar, fever, sore throat, burning eyes, skin pain, or red/purple skin rash with blistering and peeling, "
10,RiteMed Glimepiride 2mg (Packed),RiteMed Glimepiride (Packed),2,"RiteMed Glimepiride should be taken with food, taken immediately before or during breakfast or the first main meal of the day, and consumed with a full glass of water.","RiteMed Glimepiride may cause hives, difficulty in breathing, facial or throat swelling, yellowed skin, dark urine, weakness, headache, dizziness, nausea, low blood sugar, fever, sore throat, burning eyes, skin pain, or red/purple skin rash with blistering and peeling, ","It should be taken with food, taken immediately before or during breakfast or the first main meal of the day, and consumed with a full glass of water.","It may cause hives, difficulty in breathing, facial or throat swelling, yellowed skin, dark urine, weakness, headache, dizziness, nausea, low blood sugar, fever, sore throat, burning eyes, skin pain, or red/purple skin rash with blistering and peeling, "
11,Getryl Glimepiride 2mg (Unpacked),Getryl Glimepiride (Unpacked),2,"Getryl Glimepiride should be taken with food, taken immediately before or during breakfast or the first main meal of the day, and consumed with a full glass of water.","Getryl Glimepiride may cause hives, difficulty in breathing, facial or throat swelling, yellowed skin, dark urine, weakness, headache, dizziness, nausea, low blood sugar, fever, sore throat, burning eyes, skin pain, or red/purple skin rash with blistering and peeling, ","It should be taken with food, taken immediately before or during breakfast or the first main meal of the day, and consumed with a full glass of water.","It may cause hives, difficulty in breathing, facial or throat swelling, yellowed skin, dark urine, weakness, headache, dizziness, nausea, low blood sugar, fever, sore throat, burning eyes, skin pain, or red/purple skin rash with blistering and peeling, "
12,Zoliget Glimepiride 30mg (Unpacked),Zoliget Glimepiride (Unpacked),30,"Zoliget Glimepiride should be taken with food, taken immediately before or during breakfast or the first main meal of the day, and consumed with a full glass of water.","Zoliget Glimepiride may cause hives, difficulty in breathing, facial or throat swelling, yellowed skin, dark urine, weakness, headache, dizziness, nausea, low blood sugar, fever, sore throat, burning eyes, skin pain, or red/purple skin rash with blistering and peeling, ","It should be taken with food, taken immediately before or during breakfast or the first main meal of the day, and consumed with a full glass of water.","It may cause hives, difficulty in breathing, facial or throat swelling, yellowed skin, dark urine, weakness, headache, dizziness, nausea, low blood sugar, fever, sore throat, burning eyes, skin pain, or red/purple skin rash with blistering and peeling, "
13,TGP Gliclazide 80mg (Packed),TGP Gliclazide (Packed),80,TGP Gliclazide may be taken with or without food.,"TGP Gliclazide may cause low blood sugar (hypoglycemia) which manifests as dizziness, weakness, drowsiness, headache, sweating, nervousness, shaking","It may be taken with or without food.

","It may cause low blood sugar (hypoglycemia) which manifests as dizziness, weakness, drowsiness, headache, sweating, nervousness, shaking"
14,TGP Gliclazide 80mg (Unpacked),TGP Gliclazide (Unpacked),80,TGP Gliclazide may be taken with or without food.,"TGP Gliclazide may cause low blood sugar (hypoglycemia) which manifests as dizziness, weakness, drowsiness, headache, sweating, nervousness, shaking","It may be taken with or without food.

","It may cause low blood sugar (hypoglycemia) which manifests as dizziness, weakness, drowsiness, headache, sweating, nervousness, shaking"
15,RiteMed Gliclazide 80mg (Unpacked),RiteMed Gliclazide (Unpacked),80,RiteMed Gliclazide may be taken with or without food.,"RiteMed Gliclazide may cause headache, nausea, vomiting, fatigue, sleep disorders, agitation, aggression, impaired concentration, reduced awareness and slowed reactions, depression, confusion, and visual and speech disorders.","It may be taken with or without food.

","It may cause headache, nausea, vomiting, fatigue, sleep disorders, agitation, aggression, impaired concentration, reduced awareness and slowed reactions, depression, confusion, and visual and speech disorders."
16,RiteMed Gliclazide 80mg (Packed),RiteMed Gliclazide (Packed),80,RiteMed Gliclazide may be taken with or without food.,"RiteMed Gliclazide may cause headache, nausea, vomiting, fatigue, sleep disorders, agitation, aggression, impaired concentration, reduced awareness and slowed reactions, depression, confusion, and visual and speech disorders.","It may be taken with or without food.

","It may cause headache, nausea, vomiting, fatigue, sleep disorders, agitation, aggression, impaired concentration, reduced awareness and slowed reactions, depression, confusion, and visual and speech disorders."
17,Diamicron MR Gliclazide 60mg (Unpacked),Diamicron M.R. Gliclazide (Unpacked),60,Diamicron M.R. Gliclazide should be taken with food.,"Diamicron M.R. Gliclazide may cause hypoglycaemia, constipation, diarrhoea, nausea, vomiting, epigastric discomfort, abdominal pain, heartburn, dyspepsia.",It should be taken with food.,"It may cause hypoglycaemia, constipation, diarrhoea, nausea, vomiting, epigastric discomfort, abdominal pain, heartburn, dyspepsia."
18,Diamicron MR Gliclazide 60mg (Packed),Diamicron M.R. Gliclazide (Packed),60,Diamicron M.R. Gliclazide should be taken with food.,"Diamicron M.R. Gliclazide may cause hypoglycaemia, constipation, diarrhoea, nausea, vomiting, epigastric discomfort, abdominal pain, heartburn, dyspepsia.",It should be taken with food.,"It may cause hypoglycaemia, constipation, diarrhoea, nausea, vomiting, epigastric discomfort, abdominal pain, heartburn, dyspepsia."
19,Velmetia Sitagliptin Metformin HCl 500mg (Unpacked),Velmetia Sitagliptin Metformin HCl (Unpacked),500,Velmetia Sitagliptin Metformin HCl should be taken with food.,"Sitagliptin Metformin HCl may cause diarrhea, nausea, dyspepsia, flatulence, vomiting, headache, hypoglycemia, and abdominal pain.",It should be taken with food.,"It may cause diarrhea, nausea, dyspepsia, flatulence, vomiting, headache, hypoglycemia, and abdominal pain."
20,Velmetia Sitagliptin Metformin HCl 1g (Unpacked),Velmetia Sitagliptin Metformin HCl (Unpacked),1000,Velmetia Sitagliptin Metformin HCl should be taken with food.,"Sitagliptin Metformin HCl may cause diarrhea, nausea, dyspepsia, flatulence, vomiting, headache, hypoglycemia, and abdominal pain.",It should be taken with food.,"It may cause diarrhea, nausea, dyspepsia, flatulence, vomiting, headache, hypoglycemia, and abdominal pain."
21,Trajenta Duo Linagliptin Metformin HCl 1g (Unpacked Side A),Trajenta Duo Linagliptin Metformin HCl (Unpacked Side A),1000,Trajenta Duo Linagliptin Metformin HCl should be taken with food.,"Trajenta Duo Linagliptin Metformin HCl may cause nasopharyngitis, hypersensitivity, cough, decreased appetite, diarrhoea, nausea, pancreatitis, vomiting, pruritus, increased lipase.",It should be taken with food.,"It may cause nasopharyngitis, hypersensitivity, cough, decreased appetite, diarrhoea, nausea, pancreatitis, vomiting, pruritus, increased lipase."
22,Trajenta Duo Linagliptin Metformin HCl 1g (Unpacked Side B),Trajenta Duo Linagliptin Metformin HCl (Unpacked Side B),1000,Trajenta Duo Linagliptin Metformin HCl should be taken with food.,"Trajenta Duo Linagliptin Metformin HCl may cause nasopharyngitis, hypersensitivity, cough, decreased appetite, diarrhoea, nausea, pancreatitis, vomiting, pruritus, increased lipase.",It should be taken with food.,"It may cause nasopharyngitis, hypersensitivity, cough, decreased appetite, diarrhoea, nausea, pancreatitis, vomiting, pruritus, increased lipase."
23,Trajenta Duo Linagliptin Metformin HCl 500mg (Unpacked Side A),Trajenta Duo Linagliptin Metformin HCl (Unpacked Side A),500,Trajenta Duo Linagliptin Metformin HCl should be taken with food.,"Trajenta Duo Linagliptin Metformin HCl may cause nasopharyngitis, hypersensitivity, cough, decreased appetite, diarrhoea, nausea, pancreatitis, vomiting, pruritus, increased lipase.",It should be taken with food.,"It may cause nasopharyngitis, hypersensitivity, cough, decreased appetite, diarrhoea, nausea, pancreatitis, vomiting, pruritus, increased lipase."
24,Trajenta Duo Linagliptin Metformin HCl 500mg (Unpacked Side B),Trajenta Duo Linagliptin Metformin HCl (Unpacked Side B),500,Trajenta Duo Linagliptin Metformin HCl should be taken with food.,"Trajenta Duo Linagliptin Metformin HCl may cause nasopharyngitis, hypersensitivity, cough, decreased appetite, diarrhoea, nausea, pancreatitis, vomiting, pruritus, increased lipase.",It should be taken with food.,"It may cause nasopharyngitis, hypersensitivity, cough, decreased appetite, diarrhoea, nausea, pancreatitis, vomiting, pruritus, increased lipase."
